0,2017-6-6 18:07,据韩国媒体报道，6日上午，因涉嫌吸毒被公诉的Bigbang成员TOP失去意识晕倒，被紧急送到首尔某医院。下午5点左右，TOP转到重症患者室，但是目前还未恢复意识。TOP身边的亲友表示：“正在检查中，还未出来结果，但是有服用药物的可能性。最近发生了很多事情，加上转到4机动团，应该是遭受的压力太大了。希望他能早日恢复意识”。主治医生还表示：“TOP被送往医院时是被三个人抬着进入医院，两人抬上肢，一个抬下肢。急诊医生对TOP进行检查时发现，患者的意识状态对于一般性刺激不具有反应，呈现血压上升极快以及脉搏、呼吸不稳定的现象。对此我们采取了应急措施，判断患者处于危急状态。”6月29日上午，TOP出席了在首尔地方法院开庭审理的“涉嫌吸毒案”一审公判，并鞠躬道歉。韩国男团BIGBANG成员TOP因涉嫌吸毒而在今天上午出庭受审，他在进入法院前向现场记者表示愿意接受任何处罚。TOP涉嫌去年在自宅与一名女训练生吸毒而被检方起诉，今天TOP承认了检方对他的所有指控并表示他已深刻认识到自己犯下了多大的错误，无论法院作出什么样的判决他都会接受。原本服兵役的TOP因为涉嫌吸毒而被解除了义务警察职务，之后他又因过量服用药物而失去意识，在紧急抢救恢复意识后接受治疗至今。“首先，向因为此事受到伤害及失望的人们表达最真诚的歉意。是我太愚蠢了，之前的我因为长时间的抑郁症和严重的不安障碍，一直想逃避黑暗中的自己。因为我不稳定的精神状态导致我冲动的做出了错误的行为，也已经造成了不可挽回的大过错，让大家很失望。我觉得自己很丢人，我甘愿接受任何处罚。我会深深地反省再反省，以后不会再发生这种事情了。最后，对我的母亲也真的很抱歉”。
1,2017-6-8 18:13 ,搅碎一池子星月,生姜OvO,嘴这么毒吃屎长大的？ 
2,2017-6-8 17:25 ,YANGMEIQI,陳夢嫻,对呀 
3,2017-6-8 17:20 ,c-陈静静-,杨Lin_tttop,观念不同有些错可以原谅有些不可以，明星是公众人物，他吸毒被观众轻易接受原谅，不就是高数大众吸毒不是什么大事吗那吸下毒改了就好，那家暴改了就好那杀个人改了就好很多大错不过是因小错的纵容而起的，三观不同别回了 
4,2017-6-8 17:07 ,新月长安,,能不能别发韩国明星的新闻了，天天在热门看见真的很心烦。他是谁？看着也不好看啊！ 
5,2017-6-8 16:52 ,Gyx_LLL,黄格格锋,嘻嘻 难道你就是传说中的神经病？我看你微博也没有一条关于top的啊 找什么存在感？ 
6,2017-6-8 16:41 ,虎哥的御前带刀侍卫333,迟早要嫁给王俊凯,哦 
7,2017-6-8 16:41 ,超甜的荔枝阿,龙哥的御前带刀侍卫333,你脱不脱粉跟我没关系 反正我爱豆吸毒 我就会脱粉 
8,2017-6-8 16:40 ,虎哥的御前带刀侍卫333,迟早要嫁给王俊凯,你的意思我的爱豆吸毒我就该脱粉么？好霸道，霸道总裁服气 
9,2017-6-8 16:40 ,超甜的荔枝阿,龙哥的御前带刀侍卫333,行 
10,2017-6-8 16:39 ,虎哥的御前带刀侍卫333,迟早要嫁给王俊凯,我看过你说的这句话的源头，微博上传疯了，把每个吸毒艺人和缉毒警察比来比去，我们爱豆吸毒，我们比不了好吧，接受惩罚并且不洗白，OK? 
11,2017-6-8 16:37 ,超甜的荔枝阿,龙哥的御前带刀侍卫333,就是王俊凯吸毒了 我脱粉 你要是说王俊凯的命不值钱我也不反驳 听懂了吗 
12,2017-6-8 16:34 ,虎哥的御前带刀侍卫333,迟早要嫁给王俊凯,我也不知道你在说什么意思，能把话语简洁概括一下么 
13,2017-6-8 16:33 ,超甜的荔枝阿,龙哥的御前带刀侍卫333,如果王俊凯吸毒了 你说他的命不如警察的命 我保证半句话也不说 如果王俊凯吸毒 我保证脱粉 不要说我说的简单 保证脱粉 
14,2017-6-8 16:32 ,虎哥的御前带刀侍卫333,迟早要嫁给王俊凯,那我说王俊凯的命不如警察的命你高兴么?说到底，大家都一样，生命都是珍贵的，他吸毒是犯错了，谁有要替他洗白的意思?他自己也没有吧，可怕 
15,2017-6-8 16:31 ,超甜的荔枝阿,龙哥的御前带刀侍卫333,这叫喷？那你回复我的时候说话语气也算是喷咯？你要回复我 我只是回复你而已 你非要说我喷你我也没办法 成绩无所谓 别吸毒就行 
16,2017-6-8 16:29 ,超甜的荔枝阿,龙哥的御前带刀侍卫333,说到底 还不是你闲得回复我 说话一副不可一世的样子 你要是懂我的意思干嘛要回复我？不就是知道我说top的命不如警察的命不值钱不高兴吗 
17,2017-6-8 16:29 ,虎哥的御前带刀侍卫333,迟早要嫁给王俊凯,你怎么那么不讲道理啊，论不过就喷，那你真的好棒棒啊祝你哥哥考个好成绩 
18,2017-6-8 16:28 ,虎哥的御前带刀侍卫333,迟早要嫁给王俊凯,我怼你了么，是你自己理解不了我说的意思，还在这哔哩哔哩，可怕，一副天不怕地不怕的样子，拜托你多看点书 
19,2017-6-9 07:17 ,我有伱的草原,KwonRnyAhanf,脑残粉真不知道你们喜欢爱豆的是不是都会和爱豆做同样的事当然这么脑残可能也一起吸毒了吧，吸毒对大脑不好哦 
20,2017-6-9 07:14 ,我有伱的草原,vvip饭饭Vicky,不知道就别瞎说是啥意思呀，top吸毒是有人逼迫他的吗 
21,2017-6-9 01:57 ,Wing_魎,Ttttttttttttt_t,你这样说貌似太过分了 
22,2017-6-9 01:03 ,卢得瑟Luuulucky,朴大牙哇,你真棒 
23,2017-6-9 00:47 ,不吃蔥w,张玲瑶-,請問你係邊位？？？？ 
24,2017-6-9 00:44 ,点个点点儿,张玲瑶-,缉毒警察说那些明星吸毒了，道道歉，过一段时间就复出了，那我的战友能复活么？做人是要有底线的，如果你到了这个底线，不是知错就改就能被谅解的，如果道歉有用，要警察干什么？我相信大部分上刑场的犯人都后悔了，照样枪毙，因为他们已经踏入到底线下了，所以我也希望你们这些追星的，也能有点底线 
25,2017-6-9 00:35 ,点个点点儿,张玲瑶-,我为什么说这样一句话，是因为我觉得你所谓的换位思考根本就没必要！他压力大这个不可否认。但是我相信，那些每天为了生计而工作的人压力更大，但是他们为什么没吸毒呢？错了就是错了，只是因为你喜欢他，所以你自己在为他找借口，如果换个人，你估计啥都不说，甚至是加入那些键盘侠的行列。 
26,2017-6-9 00:30 ,点个点点儿,张玲瑶-,吸完毒知错就改，和强奸完知错就改，没什么区别 
27,2017-6-9 00:29 ,点个点点儿,张玲瑶-,没有吸毒的，哪儿来贩毒的，更没缉毒的！每年因为缉毒而失去生命的警察有多少？你只看到了因为受强奸而受到伤害的女性，难道你看不到那些因为缉毒而牺牲的鲜活的生命么？他们背后都有家庭，甚至有孩子！这不是一种伤害么？为什么社会对吸毒贩毒零容忍！我觉得这种伤害只会比强奸更严重！ 
28,2017-6-9 00:18 ,迷途小书茼,,每次看到这个人的微博就在想怎么还没死 
29,2017-6-9 00:17 ,改名了叫啥好,节节高596,我又没说他，楼主又没说什么缺德的话，你说人家积点德，我是说你脑残看不懂，你在这和我讨论原不原谅的事，果然脑残啊！ 
30,2017-6-8 23:58 ,帅比limit,权世界志有BIGBANG,就允许你在别人微博下面评论还不允许别人评论你了？按你这说法那你在别人微博下面bb什么 你可以反驳别人别人就不能反驳你 你算啥？ 
31,2017-6-8 23:52 ,鬼怪的新娘就是我,迟早要嫁给王俊凯,🙂 
32,2017-6-8 23:25 ,_小花姐姐,一栗火山凡,哈哈哈哈还真的有可能 
33,2017-6-8 23:19 ,Fern艾-Anastasia,花椒油和洗袜子_尚桃,毕竟这种维护韩国爱豆的勇气都可以有，脑残粉还有什么怕的嘛 
34,2017-6-8 23:16 ,_One-fifth,权世界志有BIGBANG,还想对骂继续，本爸爸绝不会放过辱吾之人 
35,2017-6-8 23:14 ,Nefertari_Xx,xoxo_pppetrichor,你就是脑残粉啊 
36,2017-6-8 23:14 ,一栗火山凡,_小花姐姐,挺住。。。又双叒叕上热搜了我都要怀疑是不是有人买了热搜了 
37,2017-6-8 23:12 ,_One-fifth,权世界志有BIGBANG,你家狗长得又丑，你眼是不是瞎？喜欢的人会为他好能理解，但你想洗白怪不得别人喷傻鸡 
38,2017-6-8 23:08 ,_One-fifth,权世界志有BIGBANG,小学鸡什么就不知道盲目崇拜跟风，拜托别污染祖国的花朵，赶紧滚出国门，替我擦鞋都不配 
39,2017-6-8 22:54 ,_One-fifth,权世界志有BIGBANG,笑死了，还在我这卖弄你那愚蠢的思想废婊自嘲完美得无懈可击cheaper 
40,2017-6-8 22:52 ,小九妹哈哈哈,池魚被占用,哦，那你很棒棒哦 
41,2017-6-8 22:41 ,1020hx,,事实就是这样，可是嘴是别人的，我管不住，但我还是觉得你们狗嘴就是老是喷屎，叫别人去死，你呢，被屎填满你的嘴 
42,2017-6-8 22:38 ,藤野先生的钟纪璇,Emotiona小吃货oobb,这都知道儿子厉害了 
43,2017-6-8 22:37 ,藤野先生的钟纪璇,三次元学妹,我就骂咋地，你别看阿 
44,2017-6-8 22:26 ,做他的喵啊,张玲瑶-,我看到了！卧槽简直特妈的智障 
45,2017-6-8 22:23 ,朴大牙哇,卢得瑟Luuulucky,你有脑，只不过是残的 
46,2017-6-8 21:53 ,AnnieCheers,婕西卡小姐姐,别特么信口开河凸显你的nc，ok？ 
47,2017-6-8 21:52 ,张玲瑶-,点个点点儿,知错就改起码还没有到强奸地步 
48,2017-6-8 21:52 ,AnnieCheers,婕西卡小姐姐,来来来，你找出来证据我骂他什么了？层主骂他什么了？ 
49,2017-6-8 21:49 ,张玲瑶-,我找不到那个被我弄丢了的鹿了,so？ 
50,2017-6-8 21:48 ,张玲瑶-,Choivy125,所以      …… 
51,2017-6-8 21:44 ,张玲瑶-,点个点点儿,他吸毒伤害的是自己身体，强奸是伤害别个女生！你告诉我性质哪里是一样的？ 
52,2017-6-8 21:42 ,张玲瑶-,点个点点儿,你这个是强奸！对别人有伤害OK？我就想说你们两个的性质一样吗？一样吗？还换位思考？！ 
53,2017-6-8 21:41 ,张玲瑶-,wuli洪小杰呀,还有人回复我说他强奸了人叫我换位思考原来他！他也是来搞笑的！性质一样吗？ 
54,2017-6-8 21:38 ,张玲瑶-,wuli洪小杰呀,那种人不必理会-！ 
55,2017-6-8 21:38 ,张玲瑶-,点个点点儿,你强奸？和吸毒？你脑子没有坏掉吧？我说的换位思考起码也是一样得事件啊！ 
56,2017-6-8 21:36 ,张玲瑶-,Choivy125,实话，你是你我是我，OK？ 
57,2017-6-8 21:35 ,张玲瑶-,音乐伴你成长,那我是不是应该回一个呵呵哒？ 
58,2017-6-8 21:33 ,苏让儿,,吸毒固然有错，但是评论还是不要恶语相向，脑残粉也不要太过激动，他会受到相应的惩罚，纯路人一只 
59,2017-6-8 21:31 ,是人民啊,酷酷的辰丶,心疼缉毒警的圣人求求你们赶紧抱着你们的键盘去协助缉毒好啵？不是脑残粉，要喷的可以闭嘴了 
60,2017-6-8 21:28 ,Oh-kkkiyoumi,陆缓归,你这么捧缉毒警察你怎么不去当？你根本就不是真正尊敬这个职位 
61,2017-6-8 21:24 ,Chen7huooooer,权世界志有BIGBANG,误食这种不是只有小学生才有的思想？萨德打到家门口了还在帮你野爹说话呢 
62,2017-6-8 21:22 ,LeahTROYEt,16T1AnY,戳爷不吸毒啊 
63,2017-6-8 21:20 ,权世界志有BIGBANG,7Dopamine,你他妈不骂劳资，劳资也不会骂你，拜拜，小学生，睡觉吧 
64,2017-6-8 21:12 ,Chen7huooooer,权世界志有BIGBANG,打错哪个字了啊你说说 犬痔聋的狗儿子回去给你的韩国野爹舔脚吧 
65,2017-6-8 21:10 ,权世界志有BIGBANG,7Dopamine,哟哟哟，字都打错，你他妈怎么念书的？还有，你才脑残。没事评论我这个vip干什么呢？招骂？ 
66,2017-6-8 21:08 ,权世界志有BIGBANG,帅比limit,那我再评论你瞎起个什么劲？还回复？？！！给你能耐的 
67,2017-6-8 21:06 ,权世界志有BIGBANG,我爱他89030,哎呦呵这又有一个狗东西，你他妈脑残，我喜欢我的关你毛线事情 
68,2017-6-8 21:04 ,权世界志有BIGBANG,姚先森ll,我他妈又知道怎么了 
69,2017-6-8 21:03 ,权世界志有BIGBANG,_One-fifth,哎~又一个没良心的狗东西， 我们是vip当然要护着自己偶像，逼奶姆！ 
70,2017-6-8 21:00 ,权世界志有BIGBANG,鲜艳的红领巾-_-,滚 
71,2017-6-8 20:57 ,Chen7huooooer,权世界志有BIGBANG,有你脑残？还误食呢 认不到字吗 看不来新闻吗 装怪装可爱 
72,2017-6-8 20:54 ,权世界志有BIGBANG,7Dopamine,说你了？自恋？ 
73,2017-6-8 20:47 ,米粉米粉哇,0327li,讽刺你了? 
74,2017-6-8 20:46 ,米粉米粉哇,蛇精中二全是病,是人啊，那top不是人? 
75,2017-6-8 20:45 ,米粉米粉哇,AnnieCheers,他杀了你爸还是杀了你妈，要你这么骂他? 
76,2017-6-8 20:44 ,米粉米粉哇,泥泞的兔子,来啊，你厉害键盘侠 
77,2017-6-8 20:28 ,啊哈哈哈哈哈哈哈嗝a,萌萌哒的大橙子啊,噢？ 
78,2017-6-8 20:25 ,托蛋塔的李天狗,Ttttttttttttt_t,自从他吸毒之后我就脱粉了    祖国的花朵要积极向上 但是毕竟是曾经喜欢过的明星多少还是有一丢丢的那啥 
79,2017-6-8 20:21 ,合作共赢-朱伟祥,陈情不可寻,所以说，啥几把都能扯进来 
80,2017-6-8 20:17 ,养猫的阿姨_,好像也是蛮拼的,曝光之前能唱能跳了 一曝光就身体不好了？？？？韩国棒子从总统到明星还真是戏多 
81,2017-6-8 20:07 ,宝宝的衣橱2,,活该 
82,2017-6-8 20:01 ,祝丁老师早日康复,全微博最会赚米的长腿小魔女,我也不是粉丝，我觉得应该封杀吸毒明星，但是这起码是条人命吧！没有谁愿意用生命炒作吧！ 
83,2017-6-8 19:33 ,草莓味梦熙,,我去  要以一个这样的形式博取同情吗！ 
84,2017-6-8 19:05 ,海上天空plus,托蛋塔的李天狗,你的语言上就说明了，一个瘾君子有什么好喜欢的? 
85,2017-6-8 18:54 ,Dear克拉利蒙,刘可欣啊,对呀，说的就是你们VIP们吃屎长大的啊屎里还带毒品 
86,2017-6-8 18:22 ,丙秋夭叶,花花花花花花花花姐姐,因为你的比我多 
87,2017-6-8 18:13 ,搅碎一池子星月,生姜OvO,嘴这么毒吃屎长大的？ 
88,2017-6-8 17:25 ,YANGMEIQI,陳夢嫻,对呀 
89,2017-6-8 17:20 ,c-陈静静-,杨Lin_tttop,观念不同有些错可以原谅有些不可以，明星是公众人物，他吸毒被观众轻易接受原谅，不就是高数大众吸毒不是什么大事吗那吸下毒改了就好，那家暴改了就好那杀个人改了就好很多大错不过是因小错的纵容而起的，三观不同别回了 
90,2017-6-8 17:07 ,新月长安,,能不能别发韩国明星的新闻了，天天在热门看见真的很心烦。他是谁？看着也不好看啊！ 
91,2017-6-8 16:52 ,Gyx_LLL,黄格格锋,嘻嘻 难道你就是传说中的神经病？我看你微博也没有一条关于top的啊 找什么存在感？ 
92,2017-6-8 16:41 ,虎哥的御前带刀侍卫333,迟早要嫁给王俊凯,哦 
93,2017-6-8 16:41 ,超甜的荔枝阿,龙哥的御前带刀侍卫333,你脱不脱粉跟我没关系 反正我爱豆吸毒 我就会脱粉 
94,2017-6-8 16:40 ,虎哥的御前带刀侍卫333,迟早要嫁给王俊凯,你的意思我的爱豆吸毒我就该脱粉么？好霸道，霸道总裁服气 
95,2017-6-8 16:40 ,超甜的荔枝阿,龙哥的御前带刀侍卫333,行 
96,2017-6-8 16:39 ,虎哥的御前带刀侍卫333,迟早要嫁给王俊凯,我看过你说的这句话的源头，微博上传疯了，把每个吸毒艺人和缉毒警察比来比去，我们爱豆吸毒，我们比不了好吧，接受惩罚并且不洗白，OK? 
97,2017-6-8 16:37 ,超甜的荔枝阿,龙哥的御前带刀侍卫333,就是王俊凯吸毒了 我脱粉 你要是说王俊凯的命不值钱我也不反驳 听懂了吗 
