0,2016.10.13 10:46,7月23日，北京八达岭野生动物园发生老虎伤人事故致一死一伤。32岁游客赵女士在东北虎园下车时，被老虎拖走受伤，其母周女士下车追女儿时遭老虎撕咬死亡。昨日，伤者赵女士讲述事发经过时称，自己因为坐车晕车，下车去往驾驶室被咬伤，并非因为吵架。昨天晚上，赵女士接受京华时报记者电话采访时回忆，事发当天早上，她开着 车去给车做了保养，并且一路开车到八达岭野生动物园，加上路上堵车，自己非常累。于是，进入动物园后，就让爱人开车，但由于爱人开车不熟练，并且当时正处 于上坡地段，自己有点晕车。赵女士说，由于自己开车不晕坐车晕，所以提出要开车，便下车去往驾驶室。在走到驾驶室时，赵女士听到了 巡逻车按喇叭的声音，但来不及了，老虎已经扑过来了。对于为何会在东北虎园下车，赵女士回应说，东北虎园的构造非常混乱，容易给人一种错觉。在看到“禁止下车”警示牌的地方自己并没有下车，而是到了允许下车的休息区才下的车。赵女士告诉记者，自己受伤确实很严重，但并不像网上说的那样下巴被咬掉，“我的腰部、面部、脊椎、牙齿等多部位受伤，右脸有一道20多厘米长的疤痕，面部 神 经受损，牙齿掉了两颗，咀嚼功能受到影响。”赵女士称，目前的医学治疗已经结束，之后右下颌部分有钢板要取出，还需进行一些康复性、整容性的后期治疗，毕 竟自己还这么年轻。赵女士称，“事发当时就应该发声。但是我们充分相信了当地的政府。爱人单位领导和地方政府也一再协调。他们采取迂回战术，这可能是危机公关的手段吧。等调查报告出来之后，动物园就有恃无恐了。动物园说仍在与我们商谈，那是天大的谎言。”对于网上的言论，赵女士称：这是诬陷。任何人都有判断失误的时候，我自己肯定有责任，但我不认同网民的“不作死不会死”这一说法。事发当晚，延庆的朋友圈都在疯传我的消息。看到资料被扒，挺无语的。事发后，赵女士的父亲一直在和动物园的协商。赵先生表示，8月29日，在和八达岭野生动物园协商时，园方提出按照处理交通事故的办法定损、定责、定赔。对于 死者周某，双方协定定损124.5万，并达成一致。家属认为动物园应对周某的死亡承担全部责任，但动物园表示只承担15%的责任，并予以赔偿。对于伤者赵女士，家属一方提出定损150余万，己方承担20%至30%的责任，动物园承担70%至80%的责任；但动物园只认可74.5万，不同意家属提出的精神损 失费和后期治疗费用赔偿。赵先生表示，截至目前，动物园一方也没有给出明确的答复，双方也未达成一致意见。昨天晚上，记者联系到八达岭野生动物园负责宣传的曹先生。对于家属指称的动物园没有及时采取有效救援措施一事，曹先生表示，根据视频显示，巡逻车当时就是过去救援的，事情已经很清楚了，不需要再做出解释。曹先生称，动物园会依据政府结论办事，政府的调查报告非常详细清楚，动物园没有责任，也就不存在赔偿的问题，如果有赔偿的话，也仅仅是出于道义上的。目前， 动物园仍在和家属沟通，但还没有结论，对于事情的进展和双方协商的问题，曹先生表示不方便透露。此外，曹先生说，东北虎园目前仍未开放，具体开放时间还不确定。[“我们要求的只是一个公道，一个澄清事实的机会。”]10月14日，八达岭野生动物园老虎袭人事件受伤者赵女士，接受了澎湃新闻的采访。在谈及事故的赔偿问题时，她表示，“人已经去世了，他就算是赔偿一个亿也好，或者怎么样也好。对于我们来说一条鲜活的生命没有了。受伤的人也是很难恢复以前的那种模样了。所以我们要求的只是一个公道，一个澄清事实的机会。”不过赵女士也表示说自己并非没有责任。她认为，自己的责任在于，一是对周围环境的误判，包括下车的一种草率。事情过去已经有将近3个月时间，赵女士在回忆起事发当时的场景依然十分清晰。她回忆说，那天因为车子走走停停，自己有点晕车。于是，就打算和爱人交换座位，自己来开车。当时，赵女士是一直走到了主驾驶位置之后，后面一辆小红车按了喇叭。但是那个时候老虎就已经向她扑过来了，已经为时已晚了。她说：“大家第一时间看到的就是我下了车，然后救援车辆它又第一时间出现了。但是后面的事情就没有了。”“我爱人也不停地敲打救援车的门。但是他们回应的方式就是，这种情况我们没法救，遇到这种情况我们也不敢下车。”事故消息在网上曝出后，也引发了网上诸多的讨论，更有网友对赵女士恶言相向。对此，赵女士表示，母亲去世的伤痛要大过对于舆论的关心。她认为，最后还是要用事实，用法律最终的判决来证明这些事情。
1,1月13日 09:36 ,小鬼我是一片云809,,只怪自已没吧，嫁武松多好。 
2,2016-12-24 13:29 ,笑笑1370,,园方有巡逻车 也有喇叭一直在提示 当然不下车就根本不会放生这件事了 不能把其他的案例放到这一件事上来 咱们现在讨论的只是这件事 
3,2016-12-3 16:01 ,小左家小冷,,评论好多洗地的圣母 
4,2016-11-29 21:19 ,小痞子哈哈哈哈哈哈,,去过八达岭野生动物园，说真的，园区的管理和防护措施已经非常到位了，而且到处都有很明显的警示牌，猛兽区内有很多工作车在巡逻，但凡是正常人都不会干出这种事的 
5,2016-11-27 21:07 ,强迫症是病啊得治,笑笑1370,不下车就不用做好安全措施吗，这个野生动物园曾经已经死伤几个人了，其中包括自己的工作人员，都是因为自己下车造成的咩，按这个逻辑是不是没有人跳船，船上就不用放急救圈？反正你不跳就不可能有后面我救援无力的事嘛！摊手 
6,2016-11-27 19:05 ,笑笑1370,强迫症是病啊得治,不下车有什么施救不施救的事吗 
7,2016-11-26 14:49 ,主人爷wb,用户3855205324,你在现场吗？你知道真相？？ 
8,2016-11-24 16:18 ,Shirley猫殿下,宏伟敬仰,脑子是个好东西 希望你有 
9,2016-11-23 21:43 ,北海有鲲may,Juicy小屏果,每个人的想法不一样啊，所以我们做好自己就行了 
10,2016-11-23 19:42 ,宏伟敬仰,Shirley猫殿下,女事主是过错在先，但，作为救援车，请问什么叫救援车？ 
11,2016-11-23 19:41 ,宏伟敬仰,Shirley猫殿下,救援车是干嘛的，不是起到救援作用？亲 
12,2016-11-23 19:23 ,Shirley猫殿下,宏伟敬仰,别道德绑架 ok？ 
13,2016-11-23 19:23 ,Shirley猫殿下,宏伟敬仰,那换你来嘛  看看你是不是能舍命喂老虎救一个那么大的人了明知不能下车还任性下车的人 
14,2016-11-23 15:06 ,自家土蜂蜜出售,,你开动物园，让游客参观就应该做好意外防患，没有意外防患万一发生紧急情况怎么办？如果我车坏了翻车了要是在外面我可以下来呀，在外面不可能也随便串出来一只老虎咬我吧。发生意外你看到有救援人员吗，有，但是他们也不敢下车，因为他们也没有任何救援措施，车上倒写了两个大字，救援，可是老虎不怕！ 
15,2016-11-23 15:06 ,Diesoul,汉诺威97,别在这儿当圣母婊了OK 
16,2016-11-23 15:06 ,自家土蜂蜜出售,大荒茶神,是的，他们也不敢下车，因为他们没有救援措施 
17,2016-11-23 15:05 ,木木每文青争,,讲真 现在的吃瓜群众都这么恶毒的揣测人心吗 毕竟人家也很惨的好吗 双方都有错 动物园本身开启这种营业项目就有错  实在不该偏袒哪一方 人心没有多好但也没多恶毒 都是俗人 大家多换位思考 我相信法律会给出公正的判决 
18,2016-11-23 14:22 ,PI-PI-鲁,,其实，什么都别说了，谁家穷的揭不开锅了，去动物园被老虎咬一口，然后直接找动物园赔钱 
19,2016-11-23 13:08 ,小钱钱曼,,希望那些喷死者家人的人们，那一天去商场摔死。也许就不会有更多脑残的家属。👏也许三年后死者回来吓吓那些喷她的人们。 
20,2016-11-23 13:04 ,小钱钱曼,Carmen楘楘正品韩代,死者三年后回来吓人 
21,2016-11-23 13:01 ,彡胖子,文丽姐姐5541862820,平平安安就已经是最好了，有多少人魂散红灯下而悔恨。 
22,2016-11-23 13:01 ,小钱钱曼,主人爷wb,如果这样，消防的，特警的。。。。哈哈。 
23,2016-11-23 11:14 ,Yuki吖菟是蘑菇的奴隶,Baby_王俊凯,问题来了 谁会那么傻在虎园里下车呢 下车和老虎喝茶吗 
24,2016-11-23 11:13 ,__Ancientmoon,汉诺威97,您觉得园区怎么响应比较有效？人家到的不够快嘛？麻醉枪就别提了，人都要几分钟才见效别说猛禽了，如果什么都不健全为什么就她妈被咬死了？每个游客都配一个专门提醒你注意事项的？你是不认识字还是心智不健全？ 
25,2016-11-23 11:08 ,Yuki吖菟是蘑菇的奴隶,,白痴啊 下车 这种地方下车还傻站着不快点上车 工作人员和你一样傻 下车和老虎对打啊 
26,2016-11-23 10:46 ,镄棄,,按照这个女人现在的逻辑，如果动物园管理员下车救人，然后被老虎咬了，这女人肯定会说自己没责任，是他自己下车救人的，跟她没关系所以，动物园管理人员没有直接下车救人是正确的 
